标题	公布日期	施行日期	时效性	制定机关	bbbs
上海市促进大型科学仪器设施共享规定	2021-11-25	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f3b2e8d017f4f84ed113012
上海市防汛条例	2021-11-25	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f3b9178017f543337602b05
上海市人口与计划生育条例	2021-11-25	2021-11-25	有效	上海市人民代表大会常务委员会	ff8081817f3b9178017f4f90542e04f4
上海市环境保护条例	2021-11-25	2021-12-01	已修改	上海市人民代表大会常务委员会	ff8081817f3b9178017f542dacee26e7
上海市浦东新区完善市场化法治化企业破产制度若干规定	2021-11-25	2022-01-01	有效	上海市人民代表大会常务委员会	ff8081817f3b2e8d017f4f8a4e4a3213
上海市人民代表大会常务委员会关于修改《上海市献血条例》等4件地方性法规的决定	2021-11-25	2021-12-01		上海市人民代表大会常务委员会	ff8081817f9062c8017f966102250716
上海市人民代表大会常务委员会关于修改《上海市人口与计划生育条例》的决定	2021-11-25	2021-11-25		上海市人民代表大会常务委员会	ff808181835fb1140183e5609fcc3fbd
上海市档案条例	2021-10-28	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f3b9178017f4a200f0c235d
上海市实施《中华人民共和国反恐怖主义法》办法	2021-10-28	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f49fff84047ec
上海市安全生产条例	2021-10-28	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f3b9178017f4d7f6cfd1801
上海市饮用水水源保护条例	2021-10-28	2021-11-01	有效	上海市人民代表大会常务委员会	ff8081817f3b2e8d017f4f5167092407
上海市供水管理条例	2021-10-28	2021-11-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f4f61691001f0
上海市河道管理条例	2021-10-28	2021-11-01	已修改	上海市人民代表大会常务委员会	ff8081817f3b9178017f4f5a3cbb754d
上海市新建住宅交付使用许可规定	2021-10-28	2021-11-01	已修改	上海市人民代表大会常务委员会	ff8081817f420ac8017f4f67a4f90295
上海市优化营商环境条例	2021-10-28	2021-10-28	已修改	上海市人民代表大会常务委员会	ff808181842c261c0184409d92d13490
上海市浦东新区城市管理领域非现场执法规定	2021-10-28	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f4f3aea5f7803
上海市浦东新区建立高水平知识产权保护制度若干规定	2021-10-28	2021-12-01	已修改	上海市人民代表大会常务委员会	ff8081817f420ac8017f4f32336572cd
上海市人民代表大会常务委员会关于修改本市部分地方性法规的决定	2021-10-28	2021-11-01		上海市人民代表大会常务委员会	ff8081818459fb0c018464b2c5780c0e
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	2021-10-28	2021-10-28		上海市人民代表大会常务委员会	eacfde77253943fdab0de39e41057d4a
上海市慈善条例	2021-09-28	2021-11-01	有效	上海市人民代表大会常务委员会	ff8081817e00906b017e29b7de6d6605
上海市水上搜寻救助条例	2021-09-28	2021-10-01	有效	上海市人民代表大会常务委员会	ff8081817e00906b017e29b28c7c65d9
上海市预算审查监督条例	2021-09-28	2021-09-28	有效	上海市人民代表大会常务委员会	ff8081817e008c43017e29bcda96638b
上海市浦东新区市场主体退出若干规定	2021-09-28	2021-11-01	有效	上海市人民代表大会常务委员会	ff8081817e00906b017e29cb49eb667f
上海市浦东新区深化“一业一证”改革规定	2021-09-28	2021-10-01	已修改	上海市人民代表大会常务委员会	ff8081817e008eb5017e29c0d279666e
上海市轨道交通管理条例	2021-08-25	2021-09-01	有效	上海市人民代表大会常务委员会	ff8081817d283644017d4644457963b5
上海市城市更新条例	2021-08-25	2021-09-01	有效	上海市人民代表大会常务委员会	ff8081817d283474017d462f72586932
上海市音像制品管理条例	2021-08-25	2021-09-01	已修改	上海市人民代表大会常务委员会	ff8081817d2837d2017d46410968725f
上海市出版物发行管理条例	2021-08-25	2021-09-01	已修改	上海市人民代表大会常务委员会	ff8081817d2837d2017d46381963722b
上海市人民代表大会常务委员会关于修改《上海市出版物发行管理条例》等3件地方性法规的决定	2021-08-25	2021-09-01		上海市人民代表大会常务委员会	ff8081817d5f7f94017d7e281d151564
上海市街道办事处条例	2021-07-29	2021-08-01	有效	上海市人民代表大会常务委员会	ff808181842c283a018432989d0819d8
上海市城市管理综合行政执法条例	2021-07-29	2021-08-01	已修改	上海市人民代表大会常务委员会	ff8081818e750bc6018ee644b5883cb4
上海市人民代表大会常务委员会关于修改《上海市街道办事处条例》等２件地方性法规的决定	2021-07-29	2021-08-01		上海市人民代表大会常务委员会	9eae82f5cca34d7abf1f4f6c0bb5bff3
上海市人民代表大会常务委员会关于修改《上海市街道办事处条例》等2件地方性法规的决定	2021-07-29	2021-08-01		上海市人民代表大会常务委员会	e8916d4d6145450d9a84e69c2b92e85c
上海市人民建议征集若干规定	2021-06-23	2021-07-01	有效	上海市人民代表大会常务委员会	ff8081817d99878a017dbd9f82ac6129
上海市人民代表大会常务委员会关于进一步促进和保障“一网通办”改革的决定	2021-06-23	2021-07-01	有效	上海市人民代表大会常务委员会	ff8081817db1b755017dbd8fd17d216e
上海市人民代表大会常务委员会关于加强浦东新区高水平改革开放法治保障制定浦东新区法规的决定	2021-06-23	2021-06-23	有效	上海市人民代表大会常务委员会	ff8081817d99878a017dbd869aa560f8
上海市红色资源传承弘扬和保护利用条例	2021-05-21	2021-07-01	有效	上海市人民代表大会常务委员会	ff8081817d283474017d45c38b8d6874
上海市人民代表大会常务委员会规范性文件备案审查条例	2021-05-21	2021-07-01	已修改	上海市人民代表大会常务委员会	ff8081817d9e2664017dbd568fcc5464
上海市人民代表大会常务委员会关于加强国有资产管理情况监督的决定	2021-05-21	2021-05-21	有效	上海市人民代表大会常务委员会	ff8081817db1b755017dbd7cfed72133
上海市中医药条例	2021-03-24	2021-05-01	有效	上海市人民代表大会常务委员会	ff8081817b39cfd9017b4d1cc7ba11b0
上海市区和乡镇人民代表大会代表直接选举实施细则	2021-03-24	2021-04-01	有效	上海市人民代表大会常务委员会	ff8081817c63656c017c78b05bc75e9e
上海市人民代表大会常务委员会关于修改《上海市区县和乡镇人民代表大会代表直接选举实施细则》的决定	2021-03-24	2021-04-01		上海市人民代表大会常务委员会	ff8081817be7bfc9017c82d788ec76d0
上海市促进多元化解矛盾纠纷条例	2021-02-26	2021-05-01	有效	上海市人民代表大会常务委员会	ff8081817b39d32a017b4d00d84711cc
上海市非机动车安全管理条例	2021-02-26	2021-05-01	已修改	上海市人民代表大会常务委员会	ff8081817b39cfd9017b4cec109c10b2
上海市人民代表大会常务委员会关于促进和保障长江流域禁捕工作若干问题的决定	2021-02-26	2021-04-01	有效	上海市人民代表大会常务委员会	ff8081817b39cfd9017b4d139d0f1171
上海市铁路安全管理条例	2020-12-30	2021-03-01	有效	上海市人民代表大会常务委员会	ff8081817a333243017a37b34e3f0583
上海市知识产权保护条例	2020-12-30	2021-03-01	有效	上海市人民代表大会常务委员会	ff8081817a2e2abe017a31a290d60543
上海市地下空间规划建设条例	2020-12-30	2021-01-01	有效	上海市人民代表大会常务委员会	ff8081817a332fe2017a38820c0108ba
上海市农村集体资产监督管理条例	2020-12-30	2021-01-01	有效	上海市人民代表大会常务委员会	ff8081817a332fe2017a388a63a308e1
上海市技术市场条例	2020-12-30	2021-01-01	有效	上海市人民代表大会常务委员会	ff8081817a332fe2017a38157edb075b
上海市遗体捐献条例	2020-12-30	2021-01-01	有效	上海市人民代表大会常务委员会	ff8081817a33336d017a3808c7b707e3
上海市养老服务条例	2020-12-30	2021-03-20	已修改	上海市人民代表大会常务委员会	ff808081729c65d801729cf3532902e8
上海市合同格式条款监督条例	2020-12-30	2021-01-01	已修改	上海市人民代表大会常务委员会	ff8081819c46fcc5019cad6c442f25bf
上海市建筑市场管理条例	2020-12-30	2021-01-01	已修改	上海市人民代表大会常务委员会	ff8081817a332fe2017a3863ccfe086f
上海市建设工程质量和安全管理条例	2020-12-30	2021-01-01	已修改	上海市人民代表大会常务委员会	ff8081817a333243017a387b3b090870
上海市住宅物业管理规定	2020-12-30	2021-01-01	已修改	上海市人民代表大会常务委员会	ff8081817a333243017a3843af7607be
上海市人民代表大会常务委员会关于修改本市部分地方性法规的决定	2020-12-30	2021-01-01		上海市人民代表大会常务委员会	ae33f069b3d540fda0035f55cce1e853
上海市人民代表大会常务委员会关于废止《上海市机动车道路交通事故赔偿责任若干规定》的决定	2020-12-30	2021-01-01		上海市人民代表大会常务委员会	ff8081817a9d9766017a9df7136200ad
上海市不动产登记若干规定	2020-11-27	2021-03-01	有效	上海市人民代表大会	ff80808177e75f88017887c31fbc3c10
上海市促进家庭农场发展条例	2020-11-27	2021-01-01	已修改	上海市人民代表大会常务委员会	ff8081818d736e08018d789697a71835
上海市公共文化服务保障与促进条例	2020-10-27	2021-01-01	有效	上海市人民代表大会常务委员会	ff808081777d07c50177b838f2662b8a
上海市公共卫生应急管理条例	2020-10-27	2020-11-01	有效	上海市人民代表大会常务委员会	ff808081777d07c50177b82fb97b2b34
上海市外商投资条例	2020-09-25	2020-11-01	有效	上海市人民代表大会常务委员会	ff808081777d07c5017786222d950e13
上海市村民委员会选举办法	2020-09-25	2020-10-01	有效	上海市人民代表大会常务委员会	ff8081817be907d8017bee36c4b2076a
上海市人民代表大会专门委员会工作条例	2020-09-25	2020-10-01	有效	上海市人民代表大会常务委员会	ff808081777d07c5017789f7da8f117b
上海市公路管理条例	2020-09-25	2020-10-01	已修改	上海市人民代表大会常务委员会	ff808081777d07c50177b3dfd88725c4
上海市人民代表大会常务委员会关于促进和保障长三角生态绿色一体化发展示范区建设若干问题的决定	2020-09-25	2020-10-01	尚未生效	上海市人民代表大会常务委员会	ff808081777d0c9401778610fc550d42
上海市人民代表大会常务委员会关于修改《上海市村民委员会选举办法》的决定	2020-09-25	2020-10-01		上海市人民代表大会常务委员会	ff8081817be7bfc9017c82c3cb1e76a5
上海市中华鲟保护管理条例	2020-05-14	2020-06-06	有效	上海市人民代表大会常务委员会	ff808081736ba74201739dada33e1847
上海市急救医疗服务条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736bb19d0173e6bbc7bc367a
上海市实施《中华人民共和国村民委员会组织法》办法	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736ba7420173e71b9e903742
上海市旅游条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736bb19d0173e70dc14a3733
上海市商品交易市场管理条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736ba7420173e70fc5af36d8
上海市教育督导条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736ba7420173e723cb4f377c
上海口岸服务条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736bb19d0173e715700b375e
上海市居民委员会工作条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736bb19d0173e72237ae379b
上海市道路运输管理条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736bb19d0173e6ca9016369f
上海市公共汽车和电车客运管理条例	2020-05-14	2020-05-15	有效	上海市人民代表大会常务委员会	ff808081736ba7420173e6cc44b63647
上海市轨道交通管理条例	2020-05-14	2020-05-15	已修改	上海市人民代表大会常务委员会	ff808081736ba7420173e7019e283680
上海市法律援助若干规定	2020-05-14	2020-05-15	已修改	上海市人民代表大会常务委员会	ff808081736ba7420173e71826933724
上海市地方金融监督管理条例	2020-04-10	2020-07-01	有效	上海市人民代表大会常务委员会	ff808081736bb19d01739da7ab0c1862
上海市优化营商环境条例	2020-04-10	2020-04-10	已修改	上海市人民代表大会常务委员会	ff808081729c65d801729cfb7271033e
上海市会展业条例	2020-03-19	2020-05-01	有效	上海市人民代表大会常务委员会	ff8080817282cc930172987dd90c1556
上海市实施《中华人民共和国农民专业合作社法》办法	2020-03-19	2020-05-01	有效	上海市人民代表大会常务委员会	ff8080817282cc9301729bdd467c180f
上海市消防条例	2020-03-19	2020-05-01	已修改	上海市人民代表大会常务委员会	ff8080817282cc9301729c3fd1c01c7e
上海市人民代表大会常务委员会关于全力做好当前新型冠状病毒感染肺炎疫情防控工作的决定	2020-02-07	2020-02-07	有效	上海市人民代表大会常务委员会	ff80808171e9e18101727e6352ce0084
上海市推进科技创新中心建设条例	2020-01-20	2020-05-01	有效	上海市人民代表大会	ff80808171e9e18101727e2e7c047dd7
上海市排水与污水处理条例	2019-12-19	2020-05-01	有效	上海市人民代表大会常务委员会	ff8080816fbc57c1017051fc91cd6140
上海市司法鉴定管理条例	2019-12-19	2020-05-01	有效	上海市人民代表大会常务委员会	ff8080816fbc57c1017051e1326660b9
上海市家政服务条例	2019-12-19	2020-05-01	有效	上海市人民代表大会常务委员会	ff8080816fbc57c1017051f884766103
上海市志愿服务条例	2019-11-15	2020-01-01	有效	上海市人民代表大会常务委员会	ff8080816fbc57c101703717e8ff4f20
上海市航道条例	2019-09-26	2020-01-01	有效	上海市人民代表大会常务委员会	ff8080816ecb2302016eceeebc1e0cd5
上海市历史风貌区和优秀历史建筑保护条例	2019-09-26	2020-01-01	已修改	上海市人民代表大会常务委员会	ff8080816ecb2302016eced6b8f409f1
上海市标准化条例	2019-07-25	2019-10-01	有效	上海市人民代表大会常务委员会	2c90e5b96c128b4c016d67162b322b84
上海市人民代表大会常务委员会关于促进和保障浦东新区改革开放再出发实现新时代高质量发展的决定	2019-07-25	2019-07-26	有效	上海市人民代表大会常务委员会	2c90e5ba6a291d8f016d6713c8e86041
上海市人民代表大会常务委员会关于贯彻实施《中华人民共和国外商投资法》若干问题的决定	2019-05-23	2020-01-01	有效	上海市人民代表大会常务委员会	2c90e5bb6a291f86016be43bf2da32ef
上海市生活垃圾管理条例	2019-01-31	2019-07-01	有效	上海市人民代表大会	2c90e5bb692e81550169b27b26176aeb
上海市实施《中华人民共和国防震减灾法》办法	2018-12-20	2019-01-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb0fb68d7710
上海市大气污染防治条例	2018-12-20	2019-01-01	有效	上海市人民代表大会常务委员会	2c90e5b9692e825301698f9331bb6738
上海市城乡规划条例	2018-12-20	2019-01-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016eba34b9056295
上海市民防条例	2018-12-20	2019-01-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb0a2b9d7551
上海市绿化条例	2018-12-20	2019-01-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebaff568f7381
上海市水产养殖保护规定	2018-12-20	2019-01-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebfe51e136127
上海市建筑市场管理条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebaf593db723a
上海市实施《中华人民共和国土地管理法》办法	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebfdfce605f89
上海市环境保护条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebfcdf59f5b8c
上海市河道管理条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebaed1f4770f2
上海市饮用水水源保护条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebfd7985b5e39
上海市供水管理条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016eba530c6264f4
上海市轨道交通管理条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebadbc9556ddb
上海市市容环境卫生管理条例	2018-12-20	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb1677fe7871
上海市宗教事务条例	2018-11-22	2019-03-01	有效	上海市人民代表大会常务委员会	2c90e5bb688822730168db83708d0cda
上海市职业教育条例	2018-11-22	2019-03-01	有效	上海市人民代表大会常务委员会	2c90e5bb688822730168db6c95980c74
上海市人民代表大会常务委员会关于支持和保障长三角地区更高质量一体化发展的决定	2018-11-22	2019-01-01	有效	上海市人民代表大会常务委员会	2c90e5b9688824190169039ce23014aa
上海市人民代表大会常务委员会关于本市机构改革涉及地方性法规规定的行政机关职责调整问题的决定	2018-11-22	2018-11-23	有效	上海市人民代表大会常务委员会	2c90e5bb6888227301690397be2014d9
上海市社会救助条例	2018-11-22	2019-05-01	已修改	上海市人民代表大会常务委员会	2c90e5b9688824190168db79c4180c1f
上海市住宅物业管理规定	2018-11-22	2019-03-01	已修改	上海市人民代表大会常务委员会	2c90e5ba688825240168db7543880b93
上海市河道管理条例	2018-11-22	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebf3adc3744cd
上海市计量监督管理条例	2018-11-22	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebf247b7b3f61
上海市旅游条例	2018-11-22	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebf56f5c44bdf
上海市公共汽车和电车客运管理条例	2018-11-22	2019-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebf4e19ee48a4
上海市实施《中华人民共和国气象法》办法	2018-11-22	2019-01-01	尚未生效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebf5243274a10
上海市实施宪法宣誓制度办法	2018-07-27	2018-07-27	有效	上海市人民代表大会常务委员会	2c90e5bb65c68cfd01662b011fe80272
上海市单用途预付消费卡管理规定	2018-07-27	2019-01-01	已修改	上海市人民代表大会常务委员会	2c90e5ba65c68cf701662afba9a2026f
上海市信访条例	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc0a8d7932d4
上海市社会治安综合治理条例	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebbeb25742f3c
上海市台湾同胞投资权益保护规定	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebbefddc73026
上海市华侨权益保护条例	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc077452322c
上海市供用电条例	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc2caa0a3600
上海市拆除违法建筑若干规定	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc12025234c2
上海市促进中小企业发展条例	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc304a233630
上海市实施《中华人民共和国突发事件应对法》办法	2018-05-24	2018-06-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc32fcdb3686
上海市地下空间规划建设条例	2018-05-24	2018-06-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebbe2050c2da4
上海市安全生产条例	2018-05-24	2018-06-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebbf97efb30de
上海市街道办事处条例	2018-05-24	2018-06-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc023b3e3185
上海市城乡规划条例	2018-05-24	2018-06-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebbdb35632bcf
上海市城市管理行政执法条例	2018-05-24	2018-06-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebc0ec9d133c9
上海市高等教育促进条例	2017-12-28	2018-03-15	有效	上海市人民代表大会常务委员会	2c90e5bb6200722a01622d74e5f52f88
上海市饮用水水源保护条例	2017-12-28	2018-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb9f43dd1d07
上海市环境保护条例	2017-12-28	2018-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb9a823d1c28
上海市大气污染防治条例	2017-12-28	2018-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebba8846f1e9d
上海市供水管理条例	2017-12-28	2018-01-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebbadcc29206a
上海市职工代表大会条例	2017-11-23	2018-01-01	有效	上海市人民代表大会常务委员会	2c90e5bb617a3f0f0161ff7c13ad2fa4
上海市古树名木和古树后续资源保护条例	2017-11-23	2017-12-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb50922f050c
上海市公园管理条例	2017-11-23	2017-12-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb47234d0232
上海市审计条例	2017-11-23	2017-12-01	有效	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb86b19a16be
上海市农村集体资产监督管理条例	2017-11-23	2018-04-01	已修改	上海市人民代表大会常务委员会	2c90e5ba6200715a01620963aee20ac8
上海市水资源管理若干规定	2017-11-23	2018-01-01	已修改	上海市人民代表大会常务委员会	2c90e5bb6200722a01620953740f0ac6
上海市实施《中华人民共和国防震减灾法》办法	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb5d871e08a6
上海市档案条例	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb694c040c69
上海市防汛条例	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb7658dc1068
上海市河道管理条例	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb7ebb7013ee
上海市绿化条例	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb35c8f77eb0
上海市计量监督管理条例	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb5887cc075c
上海市实施《中华人民共和国残疾人保障法》办法	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb7a99b51220
上海市拆除违法建筑若干规定	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb826b8f159d
上海市市民体育健身条例	2017-11-23	2017-12-01	已修改	上海市人民代表大会常务委员会	ff8080816eb1afb8016ebb7115690e7e
上海市社会信用条例	2017-06-23	2017-10-01	有效	上海市人民代表大会常务委员会	4028abcc612777930161282aa9f26d97
上海市人民代表大会常务委员会关于促进和保障崇明世界级生态岛建设的决定	2017-06-23	2017-07-01	有效	上海市人民代表大会常务委员会	4028abcc612777930161282ab17a6da0
上海市预算审查监督条例	2017-06-23	2017-10-01	尚未生效	上海市人民代表大会常务委员会	4028abcc612777930161282aae456d9c
上海市促进科技成果转化条例	2017-04-20	2017-06-01	有效	上海市人民代表大会常务委员会	4028abcc612777930161282857c76b28
上海市居民委员会工作条例	2017-04-20	2017-07-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161282851466b23
上海市实施《中华人民共和国村民委员会组织法》办法	2017-02-22	2017-05-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612888149d3f61
上海市食品安全条例	2017-01-20	2017-03-20	已修改	上海市人民代表大会	4028abcc612777930161282e0f017167
上海市公共场所控制吸烟条例	2016-11-11	2017-03-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285bbaab1b09
上海市检验检测条例	2016-11-11	2017-01-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f0a07b3060
上海市街道办事处条例	2016-09-14	2016-11-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285c996a1bd9
上海市华侨权益保护条例	2016-09-14		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f09cc6305c
上海市环境保护条例	2016-07-29	2016-10-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b77731acc
上海市急救医疗服务条例	2016-07-29		已修改	上海市人民代表大会常务委员会	4028abcc612777930161280038814181
上海市推进国际航运中心建设条例	2016-06-23		已修改	上海市人民代表大会常务委员会	4028abcc61277793016128003461417c
上海市人民代表大会常务委员会任免国家机关工作人员条例	2016-04-23	2016-05-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b168f1a70
上海市人民代表大会常务委员会关于区县和乡镇人民代表大会工作的若干规定	2016-04-21	2016-05-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f726ac379d
上海市人口与计划生育条例	2016-02-23	2016-03-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285506fd1472
上海市安全生产条例	2016-02-23	2016-03-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612854e6781457
上海市新建住宅交付使用许可规定	2016-02-23	2016-03-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612862bced21c8
上海市河道管理条例	2016-02-23	2016-03-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612825bb5f6827
上海市老年人权益保障条例	2016-01-29		已修改	上海市人民代表大会	4028abcc61277793016127fdea133f00
上海市非物质文化遗产保护条例	2015-12-30		有效	上海市人民代表大会常务委员会	4028abcc61277793016127fed0404001
上海市禁毒条例	2015-12-30	2016-04-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127febcd53fef
上海市供用电条例	2015-12-30		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127fec1283ff4
上海市实施宪法宣誓制度办法	2015-11-19		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f18a6e3159
上海市公园管理条例	2015-07-23	2015-08-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285a175a1978
上海市建设工程材料管理条例	2015-07-23	2015-08-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b9e5c1af0
上海市预防职务犯罪工作若干规定	2015-07-23	2015-09-01	尚未生效	上海市人民代表大会常务委员会	4028abcc61277793016127ef2dba2f05
上海市出租汽车管理条例	2015-06-18	2015-07-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b7ae01ad0
上海市城市管理行政执法条例	2015-06-18		已修改	上海市人民代表大会常务委员会	4028abcc61277793016128535f5012fd
上海市教育督导条例	2015-02-11		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ef29bc2f01
上海市消费者权益保护条例	2014-11-20	2015-03-15	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285368e61306
上海市防汛条例	2014-07-25	2014-08-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285464df13e5
上海市建筑市场管理条例	2014-07-25		已修改	上海市人民代表大会常务委员会	4028abcc612777930161285c25b21b6a
上海市大气污染防治条例	2014-07-25		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127f6a753370c
中国（上海）自由贸易试验区条例	2014-07-25		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127e3584e225b
上海市查处车辆非法客运若干规定	2014-06-19		有效	上海市人民代表大会常务委员会	4028abcc61277793016127edbe172d7e
上海市文物保护条例	2014-06-19		有效	上海市人民代表大会常务委员会	4028abcc61277793016127ed267a2ce7
上海市村民委员会选举办法	2014-06-19		已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b98a21aec
上海市人民代表大会常务委员会关于市人民政府制定规章设定行政处罚罚款限额的规定	2014-04-23	2014-05-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285c88181bc8
上海市未成年人保护条例	2013-12-27	2014-03-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016128552644148f
上海市地下空间规划建设条例	2013-12-27	2013-04-01	已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ef258d2efc
上海市实施《中华人民共和国残疾人保障法》办法	2013-11-21	2014-04-01	已修改	上海市人民代表大会常务委员会	4028abcc612777930161285b1a641a74
上海市轨道交通管理条例	2013-11-21	2014-01-01	已修改	上海市人民代表大会常务委员会	4028abcc6127779301612853598d12f8
上海市地面沉降防治管理条例	2013-04-17		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ee8d2d2e58
上海市实施《中华人民共和国突发事件应对法》办法	2012-12-26		已修改	上海市人民代表大会常务委员会	4028abcc61277793016127ee85f22e4f
